,SID,PID,LotFrontage,LotArea,LotConfig,Neighborhood,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodel,Exterior1,BsmtFinSF1,BsmtFinSF2,CentralAir,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,ThreeSsnPorch,ScreenPorch,PoolArea,MoSold,YrSold,SaleCondition,SalePrice,TotalSqftCalc,TotalBathCalc,CornerLotInd,FireplaceInd1,FireplaceInd2,FireplaceAdder1,FireplaceAdder2,CentralAirInd,BrickInd,VinylSidingInd,PoolInd,WoodDeckInd,PorchInd,QualityIndex,I2006,I2007,I2008,I2009,I2010,u,train
10,16,527216070,47,53504,CulDSac,StoneBr,2Story,8,5,2003,2003,CemntBd,1416,0,Y,3279,1,0,3,1,4,12,1,3,841,503,36,0,0,210,0,6,2010,Normal,538000,4695,4.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,40,0.0,0.0,0.0,0.0,1.0,0.5567379160784185,1.0
11,17,527225035,152,12134,Inside,Gilbert,1.5Fin,8,7,1988,2005,Wd Sdng,427,0,Y,1752,0,0,2,0,4,8,0,2,492,325,12,0,0,0,0,6,2010,Normal,164000,2179,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,56,0.0,0.0,0.0,0.0,1.0,0.2865603680256754,1.0
12,19,527276150,140,19138,Corner,Gilbert,1Story,4,5,1951,1951,VinylSd,120,0,Y,864,0,0,1,0,2,4,0,2,400,0,0,0,0,0,0,6,2010,Normal,141000,984,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,20,0.0,0.0,0.0,0.0,1.0,0.15615213615819812,1.0
13,20,527302110,85,13175,Inside,NWAmes,1Story,6,6,1978,1988,Plywood,790,163,Y,2073,1,0,2,0,3,7,2,2,500,349,0,0,0,0,0,2,2010,Normal,210000,3026,3.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,36,0.0,0.0,0.0,0.0,1.0,0.23197923391126096,1.0
14,21,527358140,105,11751,Inside,NWAmes,1Story,6,6,1977,1977,Plywood,705,0,Y,1844,0,0,2,0,3,7,1,2,546,0,122,0,0,0,0,1,2010,Normal,190000,2549,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,36,0.0,0.0,0.0,0.0,1.0,0.6169460148084909,1.0
15,26,527403020,65,8450,Inside,NAmes,1Story,5,6,1968,1968,VinylSd,775,0,Y,1056,1,0,1,0,3,6,1,1,304,0,85,184,0,0,0,7,2010,Normal,142000,1831,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,30,0.0,0.0,0.0,0.0,1.0,0.37603555782698095,1.0
16,27,527404120,70,8400,Corner,NAmes,1Story,4,5,1970,1970,Plywood,804,78,Y,882,1,0,1,0,2,4,0,2,525,240,0,0,0,0,0,4,2010,Normal,126000,1764,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,20,0.0,0.0,0.0,0.0,1.0,0.5772896448615938,1.0
17,28,527425090,70,10500,FR2,NAmes,1Story,4,5,1971,1971,HdBoard,432,0,Y,864,0,0,1,0,3,5,1,0,0,0,0,0,0,0,0,4,2010,Normal,115000,1296,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,20,0.0,0.0,0.0,0.0,1.0,0.4819577052257955,1.0
18,38,528112020,98,11478,Inside,NridgHt,1Story,8,5,2007,2008,VinylSd,1218,0,Y,1704,1,0,2,0,3,7,1,3,772,0,50,0,0,0,0,5,2010,Normal,306000,2922,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,40,0.0,0.0,0.0,0.0,1.0,0.9128403721842915,0.0
19,42,528120120,90,11520,Inside,NridgHt,1Story,9,5,2005,2005,VinylSd,110,0,Y,1698,0,0,2,0,3,7,1,3,730,192,74,0,0,0,0,6,2010,Normal,275000,1808,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,45,0.0,0.0,0.0,0.0,1.0,0.7949414516333491,0.0
20,43,528138020,79,14122,Inside,NridgHt,1Story,8,5,2005,2006,CemntBd,28,0,Y,1822,0,0,2,0,3,8,1,3,678,0,119,0,0,0,0,2,2010,Normal,259000,1850,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,40,0.0,0.0,0.0,0.0,1.0,0.07098667579703033,1.0
21,44,528138060,70,10171,Inside,NridgHt,1Story,7,5,2004,2004,VinylSd,2,0,Y,1535,0,0,2,0,3,7,0,2,532,0,0,0,0,0,0,3,2010,Normal,214000,1537,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,35,0.0,0.0,0.0,0.0,1.0,0.5362262642011046,1.0
22,47,528176010,110,14300,Inside,NridgHt,1Story,9,5,2003,2004,VinylSd,1373,0,Y,2696,1,0,2,1,3,10,2,3,958,220,150,0,0,0,0,6,2010,Normal,500000,4069,3.5,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,45,0.0,0.0,0.0,0.0,1.0,0.9976010846439749,0.0
23,48,528176070,105,13650,Corner,NridgHt,2Story,8,5,2002,2002,VinylSd,578,0,Y,2250,1,0,2,1,3,7,1,3,756,238,130,0,0,0,0,6,2010,Normal,320000,2828,3.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,40,0.0,0.0,0.0,0.0,1.0,0.48661629180423915,1.0
24,52,528218150,100,18494,Corner,Gilbert,1Story,6,5,2005,2005,VinylSd,0,0,Y,1324,0,0,2,0,3,6,0,2,430,36,23,0,0,0,0,1,2010,Normal,199500,1324,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,30,0.0,0.0,0.0,0.0,1.0,0.7536646095104516,0.0
25,55,528231020,67,13300,Inside,Gilbert,SLvl,7,5,2004,2004,VinylSd,326,0,Y,1374,1,0,2,1,3,7,1,2,400,100,0,0,0,0,0,6,2010,Normal,184500,1700,3.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,35,0.0,0.0,0.0,0.0,1.0,0.41943586873821914,1.0
26,57,528240130,63,8577,Inside,Gilbert,2Story,7,5,2004,2004,VinylSd,0,0,Y,1733,0,0,2,1,3,7,1,2,433,144,48,0,0,0,0,4,2010,Normal,185088,1733,2.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,35,0.0,0.0,0.0,0.0,1.0,0.36288229562342167,1.0
27,60,528328100,108,14774,Corner,NoRidge,2Story,9,5,1999,1999,VinylSd,0,0,Y,2599,0,0,2,1,4,10,1,3,779,668,30,0,0,0,0,5,2010,Normal,333168,2599,2.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,45,0.0,0.0,0.0,0.0,1.0,0.7387279686518013,0.0
28,61,528344070,60,17433,CulDSac,NoRidge,2Story,8,5,1998,1998,VinylSd,0,0,Y,2475,0,0,2,1,4,7,1,3,962,23,172,0,0,256,0,1,2010,Normal,355000,2475,2.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,40,0.0,0.0,0.0,0.0,1.0,0.4354921751655638,1.0
29,62,528358010,59,10593,Inside,NoRidge,1Story,7,5,1996,1996,VinylSd,919,0,Y,1720,1,0,2,0,3,7,1,2,527,240,56,154,0,0,0,3,2010,Normal,260400,2639,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,35,0.0,0.0,0.0,0.0,1.0,0.04893663106486201,1.0
30,63,528363130,98,12256,Corner,NoRidge,2Story,8,5,1994,1995,HdBoard,1032,0,Y,2622,1,0,2,1,3,9,2,2,712,186,32,0,0,0,0,4,2010,Normal,325000,3654,3.5,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,40,0.0,0.0,0.0,0.0,1.0,0.04061392997391522,1.0
31,64,528382020,92,11764,CulDSac,NoRidge,2Story,8,7,1999,2007,VinylSd,524,0,Y,2270,0,0,2,1,4,9,1,3,671,132,57,0,0,0,0,4,2010,Normal,290000,2794,2.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,56,0.0,0.0,0.0,0.0,1.0,0.9157711449079216,0.0
32,65,528382030,58,16770,CulDSac,NoRidge,2Story,7,5,1998,1998,VinylSd,0,0,Y,1839,0,0,2,1,4,7,0,2,486,0,81,0,0,0,0,6,2010,Normal,221000,1839,2.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,35,0.0,0.0,0.0,0.0,1.0,0.8431127716321498,0.0
33,66,528386040,56,14720,CulDSac,NoRidge,1.5Fin,8,5,1995,1996,VinylSd,816,0,Y,3238,1,0,2,1,4,9,1,3,666,283,86,0,0,0,0,3,2010,Normal,410000,4054,3.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,40,0.0,0.0,0.0,0.0,1.0,0.0730976490303874,1.0
34,67,528445060,73,8987,Inside,Somerst,1Story,8,5,2005,2006,VinylSd,0,0,Y,1595,0,0,2,0,2,6,1,3,880,144,0,0,0,0,0,5,2010,Normal,221500,1595,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,40,0.0,0.0,0.0,0.0,1.0,0.0962358231190592,1.0
35,69,528458070,72,8640,Inside,Somerst,2Story,7,5,2009,2009,VinylSd,24,0,Y,1547,0,0,2,1,3,7,0,2,614,169,45,0,0,0,0,6,2010,Normal,215200,1571,2.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,35,0.0,0.0,0.0,0.0,1.0,0.3706897294614464,1.0
36,70,528458110,75,9000,Inside,Somerst,1Story,8,5,2008,2008,VinylSd,1078,0,Y,1566,1,0,2,0,3,7,0,2,750,144,168,0,0,0,0,4,2010,Normal,262500,2644,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,40,0.0,0.0,0.0,0.0,1.0,0.7826728234067559,0.0
37,71,528477080,100,12552,Corner,Somerst,2Story,7,5,2004,2005,VinylSd,222,0,Y,1947,0,0,2,1,3,8,1,2,678,0,136,0,0,0,0,5,2010,Normal,254900,2169,2.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,35,0.0,0.0,0.0,0.0,1.0,0.9509336983319372,0.0
38,72,528480090,84,10440,Corner,Somerst,1Story,6,5,2005,2005,VinylSd,1414,0,Y,1468,1,0,2,0,2,6,1,2,528,0,102,0,0,216,0,5,2010,Normal,271500,2882,3.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,30,0.0,0.0,0.0,0.0,1.0,0.12246835511177778,1.0
39,73,531367050,76,10142,Inside,SawyerW,2Story,7,5,2004,2004,VinylSd,656,0,Y,2084,1,0,2,1,4,8,0,2,618,0,45,0,0,0,0,1,2010,Normal,233000,2740,3.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,35,0.0,0.0,0.0,0.0,1.0,0.10180730582214892,1.0
40,74,531369060,70,11920,Inside,SawyerW,2Story,7,5,2004,2004,VinylSd,0,0,Y,1659,0,0,2,1,3,8,0,2,484,144,68,0,0,0,0,4,2010,Normal,181000,1659,2.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,35,0.0,0.0,0.0,0.0,1.0,0.8021505954675376,0.0
41,77,531451280,70,11218,Inside,SawyerW,2Story,6,5,1992,1992,Wd Sdng,0,0,Y,1845,0,0,2,1,3,8,1,2,462,635,104,0,0,0,0,5,2010,Normal,189000,1845,2.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,30,0.0,0.0,0.0,0.0,1.0,0.0171464579179883,1.0
42,81,531453010,81,9672,Corner,SawyerW,1Story,6,5,1984,1985,HdBoard,338,0,Y,1097,0,0,2,0,3,6,0,2,480,0,0,0,0,0,0,5,2010,Normal,152000,1435,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,30,0.0,0.0,0.0,0.0,1.0,0.9814895999152213,0.0
43,82,531453040,70,8400,Inside,SawyerW,2Story,6,6,1980,1981,HdBoard,0,0,Y,1564,0,0,2,1,3,7,1,2,476,0,50,0,0,204,0,4,2010,Normal,171000,1564,2.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,36,0.0,0.0,0.0,0.0,1.0,0.7621780938934535,0.0
44,85,532354090,88,11782,Inside,Sawyer,SFoyer,5,7,1961,1995,HdBoard,899,0,Y,1155,1,0,1,0,3,6,0,2,576,192,0,0,0,0,0,6,2010,Normal,148000,2054,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,35,0.0,0.0,0.0,0.0,1.0,0.9864915383514017,0.0
45,86,532376160,65,8450,Inside,Sawyer,1Story,5,8,1965,2009,MetalSd,553,117,Y,894,1,0,1,0,3,5,1,1,336,416,144,0,0,0,0,4,2010,Normal,138500,1564,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,40,0.0,0.0,0.0,0.0,1.0,0.363867349922657,1.0
46,88,532377100,75,7500,Corner,Sawyer,1Story,5,5,1963,1963,HdBoard,824,0,Y,1040,1,0,1,1,3,5,0,1,308,0,0,220,0,0,0,6,2010,Normal,133000,1864,2.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,25,0.0,0.0,0.0,0.0,1.0,0.9721349361352623,0.0
47,91,533130020,107,10186,Inside,NoRidge,2Story,7,5,1992,1992,HdBoard,674,0,Y,1923,1,0,2,1,3,8,1,2,564,240,39,0,0,0,0,6,2010,Normal,190000,2597,3.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,35,0.0,0.0,0.0,0.0,1.0,0.8498552420642227,0.0
48,92,533130130,85,13143,Inside,NoRidge,2Story,8,5,1993,1993,HdBoard,250,981,Y,2349,1,0,2,1,4,9,1,3,762,32,130,0,0,0,0,6,2010,Normal,362500,3580,3.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,40,0.0,0.0,0.0,0.0,1.0,0.13987910212017596,1.0
49,93,533130160,88,11134,Inside,NoRidge,2Story,8,5,1992,1993,HdBoard,1129,0,Y,2225,1,0,2,1,4,7,1,3,713,198,30,0,0,0,0,6,2010,Normal,285000,3354,3.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,40,0.0,0.0,0.0,0.0,1.0,0.2688619962427765,1.0
50,106,533244030,68,7379,Inside,Somerst,2Story,8,5,2000,2000,VinylSd,484,0,Y,1848,1,0,2,1,3,7,1,2,592,280,184,0,0,0,0,4,2010,Normal,254000,2332,3.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,40,0.0,0.0,0.0,0.0,1.0,0.9104612281080335,0.0
51,110,534102025,80,8000,Inside,Somerst,1Story,7,5,2002,2002,VinylSd,833,0,Y,1492,1,0,2,0,3,6,1,2,596,277,137,0,0,0,0,4,2010,Normal,230000,2325,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,35,0.0,0.0,0.0,0.0,1.0,0.12449637660756707,1.0
52,112,534151175,80,10791,Inside,NWAmes,2Story,6,5,1993,1993,MetalSd,1137,0,Y,2495,1,0,2,1,4,9,1,2,660,224,32,0,0,0,0,3,2010,Normal,243500,3632,3.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,30,0.0,0.0,0.0,0.0,1.0,0.2174794867169112,1.0
53,115,534152100,80,10421,Inside,NWAmes,2Story,7,5,1988,1988,HdBoard,394,0,Y,1714,0,0,2,1,3,7,1,2,496,228,66,156,0,0,0,3,2010,Normal,196500,2108,2.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,35,0.0,0.0,0.0,0.0,1.0,0.4987801325041801,1.0
54,116,534176060,78,9360,Inside,NWAmes,1Story,6,7,1972,2006,Plywood,982,0,Y,1381,1,0,1,1,3,5,1,2,676,0,0,0,0,0,0,3,2010,Normal,197500,2363,2.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,42,0.0,0.0,0.0,0.0,1.0,0.33953979262150824,1.0
55,117,534176230,80,9600,Inside,NWAmes,2Story,6,6,1971,1971,MetalSd,329,0,Y,1645,0,0,1,2,4,7,0,2,441,0,78,0,0,0,0,6,2010,Normal,171000,1974,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,36,0.0,0.0,0.0,0.0,1.0,0.6600358672440052,1.0
56,118,534202160,80,9600,Inside,NAmes,1Story,5,5,1966,1966,VinylSd,698,0,Y,1232,1,0,1,1,3,6,0,2,490,0,224,0,0,0,0,4,2010,Normal,142250,1930,2.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,25,0.0,0.0,0.0,0.0,1.0,0.35695372242480516,1.0
57,120,534276360,77,9320,Inside,NAmes,1Story,4,5,1959,1959,Plywood,569,0,Y,1225,1,0,1,1,3,6,0,0,0,352,0,0,0,0,0,1,2010,Normal,128950,1794,2.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,20,0.0,0.0,0.0,0.0,1.0,0.1098332789260894,1.0
58,121,534401110,90,9900,Corner,NAmes,1Story,5,5,1966,1966,HdBoard,1059,0,Y,1209,1,0,1,0,3,6,0,2,504,0,0,120,0,0,0,4,2010,Normal,159000,2268,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,25,0.0,0.0,0.0,0.0,1.0,0.4051151778548956,1.0
59,122,534401140,88,9680,Inside,NAmes,1Story,5,6,1967,1967,Wd Sdng,1010,0,Y,1510,1,0,2,0,3,6,0,2,517,0,40,0,0,204,0,4,2010,Normal,178900,2520,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,30,0.0,0.0,0.0,0.0,1.0,0.03138328855857253,1.0
60,127,534430080,68,9717,Inside,NAmes,1Story,5,6,1950,1996,MetalSd,49,1029,Y,1078,1,0,1,0,2,5,0,1,240,366,0,112,0,0,0,4,2010,Normal,142125,2156,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,30,0.0,0.0,0.0,0.0,1.0,0.05568203539587557,1.0
61,128,534431050,68,9724,Inside,NAmes,1.5Fin,5,7,1952,2002,MetalSd,670,0,Y,2461,0,0,2,0,3,7,2,2,400,0,0,0,0,0,0,3,2010,Normal,197600,3131,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,35,0.0,0.0,0.0,0.0,1.0,0.1532417326234281,1.0
62,130,534450180,50,7207,Inside,BrkSide,1Story,5,7,1958,2008,Wd Sdng,696,0,Y,858,1,0,1,0,2,4,0,0,0,117,0,0,0,0,0,2,2010,Normal,116500,1554,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,35,0.0,0.0,0.0,0.0,1.0,0.9131054515019059,0.0
63,132,534475100,80,9920,Inside,NAmes,1Story,5,5,1954,1954,HdBoard,354,290,Y,1063,1,0,1,0,3,6,0,1,280,0,0,164,0,0,0,2,2010,Normal,128000,1707,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,25,0.0,0.0,0.0,0.0,1.0,0.5109346457757056,1.0
64,133,534476260,80,9600,Inside,NAmes,SLvl,6,6,1955,1972,AsbShng,674,132,Y,1520,1,0,1,0,3,7,2,1,364,0,0,189,0,0,0,3,2010,Normal,153000,2326,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,36,0.0,0.0,0.0,0.0,1.0,0.38452984648756683,1.0
65,134,534479320,78,7800,Inside,NAmes,1Story,5,6,1954,1954,HdBoard,540,0,Y,1268,0,0,1,0,2,7,1,1,244,0,98,0,0,0,0,3,2010,Normal,132000,1808,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,30,0.0,0.0,0.0,0.0,1.0,0.4020786094479263,1.0
66,135,535101020,75,11380,Inside,NAmes,SFoyer,6,8,1966,2008,HdBoard,944,0,Y,1128,1,0,1,0,2,5,1,1,315,238,0,0,0,0,0,1,2010,Normal,178000,2072,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,48,0.0,0.0,0.0,0.0,1.0,0.21496607130393386,1.0
67,138,535126040,137,16492,Corner,NAmes,1Story,6,6,1966,2002,BrkFace,247,713,Y,1888,0,0,2,1,2,6,1,2,578,0,0,0,0,0,0,6,2010,Normal,190000,2848,2.5,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,36,0.0,0.0,0.0,0.0,1.0,0.4501671812031418,1.0
68,140,535152050,70,8197,Inside,NAmes,1Story,7,5,2003,2009,VinylSd,1188,0,Y,1480,1,0,2,0,3,7,0,2,620,252,73,0,0,0,0,2,2010,Normal,214000,2668,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,35,0.0,0.0,0.0,0.0,1.0,0.9945734511129558,0.0
69,142,535152150,70,10552,Inside,NAmes,1Story,5,5,1959,1959,BrkFace,1018,0,Y,1700,0,1,1,1,4,6,1,2,447,0,38,0,0,0,0,4,2010,Normal,165500,2718,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,25,0.0,0.0,0.0,0.0,1.0,0.915042162174359,0.0
70,143,535152250,70,8400,Inside,NAmes,1Story,5,6,1957,1957,MetalSd,922,0,Y,1314,1,0,1,0,3,5,0,1,294,250,0,0,0,0,0,6,2010,Normal,145000,2236,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,30,0.0,0.0,0.0,0.0,1.0,0.314292979426682,1.0
71,144,535153070,73,8760,Inside,NAmes,1Story,6,6,1959,1959,MetalSd,0,0,Y,1194,1,0,1,0,3,6,0,1,312,0,0,120,0,0,0,4,2010,Normal,148000,1194,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,36,0.0,0.0,0.0,0.0,1.0,0.202734432881698,1.0
72,146,535175070,73,9300,Inside,NAmes,1Story,5,5,1960,1960,MetalSd,697,0,Y,1264,1,0,1,0,3,6,2,2,461,0,0,0,0,143,0,4,2010,Normal,167500,1961,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,25,0.0,0.0,0.0,0.0,1.0,0.20945121254771948,1.0
